Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
realme,90,3.0,1.0,675.18,2024,49999,57798,40,1.0,4.2,1144,116
Daikin,200,3.0,1.8,1057.21,2025,50990,70610,27,5.0,4.2,382,45
Voltas,150,5.0,1.5,859.325,2025,32990,45990,28,1.0,4.3,8293,876
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
ONIDA,150,3.0,1.5,859.325,2025,27990,51490,45,1.0,4.1,15072,1776
Blue Star,90,5.0,1.0,517.12,2023,36990,63500,41,1.0,4.1,2223,226
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
IFB,150,5.0,1.5,706.85,2024,71990,57798,40,1.0,4.1,11805,1023
Blue Star,90,3.0,1.0,859.325,2025,29990,47900,37,1.0,4.1,4401,411
Godrej,150,3.0,1.5,859.325,2025,25490,38600,33,5.0,4.0,1868,137
Panasonic,90,3.0,1.0,667.91,2025,31250,45100,30,1.0,4.2,5180,594
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,3.0,1.5,859.325,2025,33290,74000,55,5.0,4.1,35239,3226
LG,150,3.0,1.5,859.325,2026,35990,75190,52,1.0,4.1,39723,3780
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Godrej,150,3.0,1.5,1203.74,2025,25490,38600,33,5.0,4.0,1868,137
realme,150,3.0,1.5,952.69,2024,53999,57798,40,1.0,4.1,1303,160
TCL,150,3.0,1.5,993.57,2025,27990,52991,47,1.0,4.1,1067,126
Lloyd,90,5.0,1.0,859.325,2025,30999,56990,45,1.0,4.0,1116,96
Panasonic,150,5.0,1.5,759.55,2025,41390,59300,30,1.0,4.3,20029,2152
CARRIER,150,3.0,1.5,952.68,2025,32990,62900,47,1.0,4.2,35577,4407
LG,150,5.0,1.5,859.325,2025,41990,78990,46,1.0,4.2,42295,4041
Samsung,150,5.0,1.5,749.48,2024,39990,72990,45,1.0,4.2,25552,2605
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
